record_id,doi,field,old,new,paper_supported_value,raw_formulation,error_type,resolution,evidence,date
nmc-0510,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0511,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0512,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0513,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0085,10.1016/j.est.2024.114627,active_material_wt_pct,,99.8,99.8,not_reported,extraction error: paper-stated value not extracted,paper-stated value filled,"value omitted: paper 'electrodes containing 99.8 wt% NCM811 and only 0.2 wt% SWCNTs, acting as both conductive additive and binding agent'; binder left unchanged",2026-09-17
nmc-0085,10.1016/j.est.2024.114627,electrode_ratio_raw,not_reported,"electrodes containing 99.8 wt% NCM811 and only 0.2 wt% SWCNTs, acting as both conductive additive and binding agent","paper wording (verbatim, with note where carried over)",not_reported,raw evidence missing: normalized values present while electrode_ratio_raw read not_reported,electrode_ratio_raw filled with the paper wording behind the normalized values,raw evidence filled: paper wording that establishes active_material_wt_pct 99.8 and conductive_additive_wt_pct 0.2,2026-09-17
nmc-0007,10.3390/nano15030156,conductive_additive_wt_pct,7,8,8,88:7:1:4,extraction error: named conductive additive omitted from the sum,conductive additives summed as the paper groups them,additive omitted: paper Table 2 groups Carbon Black and MWCNTs under 'Conductive Additive (wt%)' (88 / 8-x / x / 4); the stored value counted carbon black only; explicitly named conductive additives summed,2026-09-17
nmc-0518,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0517,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0514,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0516,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0515,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0005,10.3390/nano15030156,conductive_additive_wt_pct,7,8,8,88:7:1:4,extraction error: named conductive additive omitted from the sum,conductive additives summed as the paper groups them,additive omitted: paper Table 2 groups Carbon Black and MWCNTs under 'Conductive Additive (wt%)' (88 / 8-x / x / 4); the stored value counted carbon black only; explicitly named conductive additives summed,2026-09-17
nmc-0006,10.3390/nano15030156,conductive_additive_wt_pct,6,8,8,88:6:2:4,extraction error: named conductive additive omitted from the sum,conductive additives summed as the paper groups them,additive omitted: paper Table 2 groups Carbon Black and MWCNTs under 'Conductive Additive (wt%)' (88 / 8-x / x / 4); the stored value counted carbon black only; explicitly named conductive additives summed,2026-09-17
nmc-1604,10.1016/j.ensm.2025.104316,active_material_wt_pct,92,92.5,92.5,92.5: 4:3.5,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'LNO powder, Super C65 carbon black, and PVDF in the mass ratio 92.5: 4:3.5'",2026-09-17
nmc-1605,10.1016/j.ensm.2025.104316,active_material_wt_pct,92,92.5,92.5,92.5: 4:3.5,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'LNO powder, Super C65 carbon black, and PVDF in the mass ratio 92.5: 4:3.5'",2026-09-17
nmc-1606,10.1016/j.ensm.2025.104316,active_material_wt_pct,92,92.5,92.5,92.5: 4:3.5,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'LNO powder, Super C65 carbon black, and PVDF in the mass ratio 92.5: 4:3.5'",2026-09-17
nmc-1936,10.1149/1945-7111/abe5e6,active_material_wt_pct,92,92.5,92.5,92.5:4:3.5,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'The cathodes consisted of 92.5 wt% CAM …, 4 wt% conductive carbon …, 3.5 wt% polyvinylidene-fluoride binder'",2026-09-17
nmc-0880,10.1002/adfm.202514795,active_material_wt_pct,28,,not established for the cathode,"Cl-cHBC 40 wt.%, graphite 40 wt.%, Super C45 10 wt.%, PVDF 10 wt.%","multiple formulations, wrong one attached (anode composition on cathode rows)",cleared; composition not established for the cathode; cathode sentence kept as raw text,"wrong formulation attached: values came from the Cl-cHBC/graphite hybrid anode (80 wt.% active, 10 wt.% Super C45, 10 wt.% PVDF); 'same procedure' does not establish a composition when the referenced procedure contains formulation details that may belong specifically to the anode, so the cathode composition is not established (28 was unsupported under any reading)",2026-09-17
nmc-0880,10.1002/adfm.202514795,conductive_additive_wt_pct,10,,not established for the cathode,"Cl-cHBC 40 wt.%, graphite 40 wt.%, Super C45 10 wt.%, PVDF 10 wt.%","multiple formulations, wrong one attached (anode composition on cathode rows)",cleared; composition not established for the cathode; cathode sentence kept as raw text,"wrong formulation attached: values came from the Cl-cHBC/graphite hybrid anode (80 wt.% active, 10 wt.% Super C45, 10 wt.% PVDF); 'same procedure' does not establish a composition when the referenced procedure contains formulation details that may belong specifically to the anode, so the cathode composition is not established",2026-09-17
nmc-0880,10.1002/adfm.202514795,binder_wt_pct,10,,not established for the cathode,"Cl-cHBC 40 wt.%, graphite 40 wt.%, Super C45 10 wt.%, PVDF 10 wt.%","multiple formulations, wrong one attached (anode composition on cathode rows)",cleared; composition not established for the cathode; cathode sentence kept as raw text,"wrong formulation attached: values came from the Cl-cHBC/graphite hybrid anode (80 wt.% active, 10 wt.% Super C45, 10 wt.% PVDF); 'same procedure' does not establish a composition when the referenced procedure contains formulation details that may belong specifically to the anode, so the cathode composition is not established",2026-09-17
nmc-0880,10.1002/adfm.202514795,electrode_ratio_raw,"Cl-cHBC 40 wt.%, graphite 40 wt.%, Super C45 10 wt.%, PVDF 10 wt.%","not established for the cathode; paper: 'The SC-NCM811 cathode was prepared using the same procedure as described above, with the only difference being that it was cast onto aluminum foil.'",cathode sentence (verbatim),"Cl-cHBC 40 wt.%, graphite 40 wt.%, Super C45 10 wt.%, PVDF 10 wt.%","multiple formulations, wrong one attached (anode composition on cathode rows)",cleared; composition not established for the cathode; cathode sentence kept as raw text,"wrong formulation attached: values came from the Cl-cHBC/graphite hybrid anode (80 wt.% active, 10 wt.% Super C45, 10 wt.% PVDF); 'same procedure' does not establish a composition when the referenced procedure contains formulation details that may belong specifically to the anode, so the cathode composition is not established; anode composition text replaced by the paper's cathode sentence",2026-09-17
nmc-1136,10.3390/molecules30193947,active_material_wt_pct,96,95.5,95.5,95.5:2.5:2,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'The NMC811 cathode comprised 95.5 wt% of NMC811 particles, 2.5 wt% of PVdF, and 2 wt% of Super P'; raw order is AM:binder:CA, existing CA 2 and binder 2.5 verified correct",2026-09-17
nmc-0519,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0520,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0521,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0522,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0881,10.1002/adfm.202514795,active_material_wt_pct,28,,not established for the cathode,"Cl-cHBC 40 wt.%, graphite 40 wt.%, Super C45 10 wt.%, PVDF 10 wt.%","multiple formulations, wrong one attached (anode composition on cathode rows)",cleared; composition not established for the cathode; cathode sentence kept as raw text,"wrong formulation attached: values came from the Cl-cHBC/graphite hybrid anode (80 wt.% active, 10 wt.% Super C45, 10 wt.% PVDF); 'same procedure' does not establish a composition when the referenced procedure contains formulation details that may belong specifically to the anode, so the cathode composition is not established (28 was unsupported under any reading)",2026-09-17
nmc-0881,10.1002/adfm.202514795,conductive_additive_wt_pct,10,,not established for the cathode,"Cl-cHBC 40 wt.%, graphite 40 wt.%, Super C45 10 wt.%, PVDF 10 wt.%","multiple formulations, wrong one attached (anode composition on cathode rows)",cleared; composition not established for the cathode; cathode sentence kept as raw text,"wrong formulation attached: values came from the Cl-cHBC/graphite hybrid anode (80 wt.% active, 10 wt.% Super C45, 10 wt.% PVDF); 'same procedure' does not establish a composition when the referenced procedure contains formulation details that may belong specifically to the anode, so the cathode composition is not established",2026-09-17
nmc-0881,10.1002/adfm.202514795,binder_wt_pct,10,,not established for the cathode,"Cl-cHBC 40 wt.%, graphite 40 wt.%, Super C45 10 wt.%, PVDF 10 wt.%","multiple formulations, wrong one attached (anode composition on cathode rows)",cleared; composition not established for the cathode; cathode sentence kept as raw text,"wrong formulation attached: values came from the Cl-cHBC/graphite hybrid anode (80 wt.% active, 10 wt.% Super C45, 10 wt.% PVDF); 'same procedure' does not establish a composition when the referenced procedure contains formulation details that may belong specifically to the anode, so the cathode composition is not established",2026-09-17
nmc-0881,10.1002/adfm.202514795,electrode_ratio_raw,"Cl-cHBC 40 wt.%, graphite 40 wt.%, Super C45 10 wt.%, PVDF 10 wt.%","not established for the cathode; paper: 'The SC-NCM811 cathode was prepared using the same procedure as described above, with the only difference being that it was cast onto aluminum foil.'",cathode sentence (verbatim),"Cl-cHBC 40 wt.%, graphite 40 wt.%, Super C45 10 wt.%, PVDF 10 wt.%","multiple formulations, wrong one attached (anode composition on cathode rows)",cleared; composition not established for the cathode; cathode sentence kept as raw text,"wrong formulation attached: values came from the Cl-cHBC/graphite hybrid anode (80 wt.% active, 10 wt.% Super C45, 10 wt.% PVDF); 'same procedure' does not establish a composition when the referenced procedure contains formulation details that may belong specifically to the anode, so the cathode composition is not established; anode composition text replaced by the paper's cathode sentence",2026-09-17
nmc-0079,10.1016/j.est.2024.114627,active_material_wt_pct,,99.8,99.8,not_reported,extraction error: paper-stated value not extracted,paper-stated value filled,"value omitted: paper 'electrodes containing 99.8 wt% NCM811 and only 0.2 wt% SWCNTs, acting as both conductive additive and binding agent'; binder left unchanged",2026-09-17
nmc-0079,10.1016/j.est.2024.114627,electrode_ratio_raw,not_reported,"electrodes containing 99.8 wt% NCM811 and only 0.2 wt% SWCNTs, acting as both conductive additive and binding agent","paper wording (verbatim, with note where carried over)",not_reported,raw evidence missing: normalized values present while electrode_ratio_raw read not_reported,electrode_ratio_raw filled with the paper wording behind the normalized values,raw evidence filled: paper wording that establishes active_material_wt_pct 99.8 and conductive_additive_wt_pct 0.2,2026-09-17
nmc-0084,10.1016/j.est.2024.114627,active_material_wt_pct,,99.8,99.8,not_reported,extraction error: paper-stated value not extracted,paper-stated value filled,"value omitted: paper 'electrodes containing 99.8 wt% NCM811 and only 0.2 wt% SWCNTs, acting as both conductive additive and binding agent'; binder left unchanged",2026-09-17
nmc-0084,10.1016/j.est.2024.114627,electrode_ratio_raw,not_reported,"electrodes containing 99.8 wt% NCM811 and only 0.2 wt% SWCNTs, acting as both conductive additive and binding agent","paper wording (verbatim, with note where carried over)",not_reported,raw evidence missing: normalized values present while electrode_ratio_raw read not_reported,electrode_ratio_raw filled with the paper wording behind the normalized values,raw evidence filled: paper wording that establishes active_material_wt_pct 99.8 and conductive_additive_wt_pct 0.2,2026-09-17
nmc-0715,10.1002/batt.70329,active_material_wt_pct,11,,not established,"85-94 wt% NMC622, 3 wt% carbon black, 3 wt% PVDF-HFP, with cE",extraction error: value not in paper,cleared; uncertainty preserved in electrode_ratio_raw,"extraction error: 11 appears nowhere in the paper; the Experimental section gives NMC622 '85–94 wt%' across all samples, so the active wt% of the 10 wt% cE electrode is not established; range kept in electrode_ratio_raw",2026-09-17
nmc-1607,10.1016/j.ensm.2025.104316,active_material_wt_pct,92,92.5,92.5,92.5: 4:3.5,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'LNO powder, Super C65 carbon black, and PVDF in the mass ratio 92.5: 4:3.5'",2026-09-17
nmc-1937,10.1149/1945-7111/abe5e6,active_material_wt_pct,92,92.5,92.5,92.5:4:3.5,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'The cathodes consisted of 92.5 wt% CAM …, 4 wt% conductive carbon …, 3.5 wt% polyvinylidene-fluoride binder'",2026-09-17
nmc-0710,10.1002/batt.70329,active_material_wt_pct,11,,not established,"85-94 wt% NMC622, 3 wt% carbon black, 3 wt% PVDF-HFP, with cE",extraction error: value not in paper,cleared; uncertainty preserved in electrode_ratio_raw,"extraction error: 11 appears nowhere in the paper; the Experimental section gives NMC622 '85–94 wt%' across all samples, so the active wt% of the 10 wt% cE electrode is not established; range kept in electrode_ratio_raw",2026-09-17
nmc-0524,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-1134,10.3390/molecules30193947,active_material_wt_pct,96,95.5,95.5,95.5:2.5:2,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'The NMC811 cathode comprised 95.5 wt% of NMC811 particles, 2.5 wt% of PVdF, and 2 wt% of Super P'; raw order is AM:binder:CA, existing CA 2 and binder 2.5 verified correct",2026-09-17
nmc-0523,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0082,10.1016/j.est.2024.114627,active_material_wt_pct,,99.8,99.8,not_reported,extraction error: paper-stated value not extracted,paper-stated value filled,"value omitted: paper 'electrodes containing 99.8 wt% NCM811 and only 0.2 wt% SWCNTs, acting as both conductive additive and binding agent'; binder left unchanged",2026-09-17
