reference_id,case_id,reference_row,paper,doi,deciding_field,capacity_mAh_g_value,capacity_mAh_g_status,capacity_mAh_g_evidence,material_value,material_status,material_evidence,modifier_value,modifier_status,modifier_evidence,capacity_type_value,capacity_type_status,capacity_type_evidence,cycle_value,cycle_status,cycle_evidence,c_rate_value,c_rate_status,c_rate_evidence,voltage_window_value,voltage_window_status,voltage_window_evidence,cell_type_value,cell_type_status,cell_type_evidence,operating_temperature_value,operating_temperature_status,operating_temperature_evidence,electrolyte_value,electrolyte_status,electrolyte_evidence
v5-3B/1,v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,electrolyte;cell_type,137.1,stated,the full-cell delivered 137.1 mAh g–1 (areal capacity: 2.10 mAh cm–2) after 100 cycles,NCM811,stated,pairing the Si/a-Sn/CoSi2/G/C anode with an NCM811 cathode,,not_reported,"no coating, dopant or other modification is named for this sample",,not_reported,the paper says the full cell 'delivered' 137.1 mAh/g with a capacity retention but never says charge or discharge; reading it as discharge is a convention,100,stated,after 100 cycles,1C (1C = 180 mA/g),stated,At 1 C with a cathode loading of 15.3 mg cm–2,2.0–4.3 V,stated_elsewhere,The full-cells were tested ... within a range of 2.0–4.3 V,"full cell, Si/a-Sn/CoSi2/G/C anode",stated,the full-cell delivered 137.1,room temperature (no number),stated_elsewhere,All LIB measurements were taken at room temperature,,not_reported,composition given only for LIB half-cell tests (1.3 M LiPF6 in EC/DEC + 10 wt% FEC); the full-cell paragraph names none
v5-1C/1,v5-1C,1,PAPER 11,10.3390/ma16103613,voltage_window;cycle,218,stated,247/218 mAh g−1,single-crystal NCM811 (SCNCM),stated,SCNCM/(ALP+BA)-1 electrode,aluminum triphosphate + boric acid coating ((ALP+BA)-1),stated,SCNCM/(ALP+BA)-1,discharge,stated,first charge/discharge specific capacities ... 247/218,1,stated,The first charge/discharge specific capacities,0.1C,stated,first charging and discharging curves ... at the current of 0.1 C,2.8–4.6 V,stated,(c) 2.8−4.6 V at 25 °C,"half cell, Li foil",stated_elsewhere,lithium foil was used as the counter electrode,25 °C,stated,(c) 2.8−4.6 V at 25 °C,1 M LiPF6 in EC/EMC/DMC 1:1:1 (wt),stated_elsewhere,"China, and is prepared by dissolving 1 mol L−1 LiPF6 in a ternary solvent of ethylene carbonate (EC), ethyl methyl carbonate (EMC), and dimethyl carbonate (DMC) at a weight ratio of 1:1:1"
v5-2E/1,v5-2E,1,PAPER 16,10.20517/energymater.2023.59,electrolyte,204.6,stated,(204.6 mAh g-1 for HR-NCM and 203.7 mAh g-1 for LR-NCM),NCM811 (HR-NCM),stated,HR-NCM,high primary-particle length/width ratio,stated,HR-NCM and LR-NCM cathodes,discharge,stated,initial discharge specific capacity at 0.1 C,1,stated,initial discharge specific capacity,0.1C,stated,at a rate of 0.1 C (1 C = 200 mAh g-1),2.7–4.3 V,stated,from 2.7 to 4.3 V,"half cell, Li metal",stated_elsewhere,CR2032-type half cells constructed using lithium metal as the anode,25 °C,stated_elsewhere,tested ... between 2.7 and 4.3 V (vs. Li/Li+) at 25 °C,1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC,stated_elsewhere,The electrolyte used was 1 M LiPF6 in EC/DEC/DMC (1:1:1 Vol%) with 5 wt% FEC
v5-2E/2,v5-2E,2,PAPER 16,10.20517/energymater.2023.59,electrolyte,203.7,stated,203.7 mAh g-1 for LR-NCM,NCM811 (LR-NCM),stated,LR-NCM,low primary-particle length/width ratio,stated,HR-NCM and LR-NCM cathodes,discharge,stated,initial discharge specific capacity at 0.1 C,1,stated,initial discharge specific capacity,0.1C,stated,at a rate of 0.1 C,2.7–4.3 V,stated,from 2.7 to 4.3 V,"half cell, Li metal",stated_elsewhere,CR2032-type half cells constructed using lithium metal as the anode,25 °C,stated_elsewhere,tested ... between 2.7 and 4.3 V (vs. Li/Li+) at 25 °C,1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC,stated_elsewhere,The electrolyte used was 1 M LiPF6 in EC/DEC/DMC (1:1:1 Vol%) with 5 wt% FEC
v5-3F/1,v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,capacity_type,193,stated,NMC811 shows a capacity value of 193 mAh g−1 at 1/15 C when charged to 4.5 V,NMC811,stated,NMC811 shows a capacity value,,not_reported,none named,,not_reported,'a capacity value ... when charged to 4.5 V'; never called charge or discharge,1,stated_elsewhere,(a) First derivative of (b) the EPR signal intensity of NMC811 (broad signal); (c) dQ/dV and (d) the voltage change of the NMC811 cathode during charge (blue) and the discharge (orange) process in LP57 without VC additive at a C rate of 1/15C from 2.7 to 4.5 V during its first cycle.,1/15C,stated,at 1/15 C,2.7–4.5 V,stated_elsewhere,(a) First derivative of (b) the EPR signal intensity of NMC811 (broad signal); (c) dQ/dV and (d) the voltage change of the NMC811 cathode during charge (blue) and the discharge (orange) process in LP57 without VC additive at a C rate of 1/15C from 2.7 to 4.5 V during its first cycle.,in situ EPR cell with Li metal (half cell),stated_elsewhere,contained both an NMC811 cathode and a Li counter/reference electrode,room temperature (no number),stated_elsewhere,"This cell includes a metallic Li anode and a free-standing NMC811 film cathode, allowing us to study the redox reactions of metal cations at room temperature under galvanostatic cycling.","1 M LiPF6 in EC/EMC 3:7 (LP57), no VC",stated,"in 1 M LiPF6 in 3:7 ethylene carbonate/ethyl methyl carbonate (EC/EMC, LP57) without the vinylene carbonate (VC) additive"
v5-3F/2,v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,capacity_type,225,stated,lower than the one obtained when it was tested in a coin cell (225 mAh g−1) under the same conditions,NMC811,stated,NMC811 shows a capacity value,,not_reported,none named,,not_reported,'a capacity value ... when charged to 4.5 V'; never called charge or discharge,,not_reported,no cycle given,1/15C,stated,at 1/15 C,2.7–4.5 V,stated_elsewhere,This value is lower than the one obtained when it was tested in a coin cell (225 mAh g−1) under the same conditions. ... (a) First derivative of (b) the EPR signal intensity of NMC811 (broad signal); (c) dQ/dV and (d) the voltage change of the NMC811 cathode during charge (blue) and the discharge (orange) process in LP57 without VC additive at a C rate of 1/15C from 2.7 to 4.5 V during its first cycle.,coin cell (counter electrode not stated for it),stated_elsewhere,tested in a coin cell (225 mAh g−1) under the same conditions,room temperature (no number),stated_elsewhere,"This value is lower than the one obtained when it was tested in a coin cell (225 mAh g−1) under the same conditions. ... This cell includes a metallic Li anode and a free-standing NMC811 film cathode, allowing us to study the redox reactions of metal cations at room temperature under galvanostatic cycling.","1 M LiPF6 in EC/EMC 3:7 (LP57), no VC",stated,"in 1 M LiPF6 in 3:7 ethylene carbonate/ethyl methyl carbonate (EC/EMC, LP57) without the vinylene carbonate (VC) additive"
v5-2B/1,v5-2B,1,PAPER 15,10.1016/j.jpowsour.2025.237184,voltage_window;temperature;c_rate,210,stated,210 mAh/g of discharge capacity at the end of the formation cycles,NMC811,stated,the NMC811/Gr cell,none (uncoated),stated,its coated counterpart in Fig. 1b,discharge,stated,210 mAh/g of discharge capacity,end of formation (index not given),stated,at the end of the formation cycles,0.1C,stated_elsewhere,3 cycles of constant current charge of C/10 ... followed by a C/10 discharge,2.5–4.2 V,stated_elsewhere,2.50 V–4.20 V for the full-cells ... employed in the formation cycles,"full cell, graphite",stated_elsewhere,"1a, the NMC811/Gr cell presents a total (reversible + irre­ versible) charge capacity of 240 mAh/g in the first cycle and 210 mAh/g of discharge capacity at the end of the formation cycles. ... Gr electrode was obtained from Cidetec, Spain, and it is composed of 94 wt% Graphite GHDR 15-4 (Imerys), 2 wt% carbon black Super C45 (Imerys), 2 wt% carboxymethylcellulose CMC (Chempoint W2000 3 %) and 2 wt% styrene butadiene rubber SBR (Zeon BM451 B 40 %) in Cu foil.",25.2 °C,stated_elsewhere,All the cells were aged in a thermal chamber ... at 25.2 °C ± 0.2 °C,1 M LiPF6 in EC:EMC (30:70 wt) + 2 wt% VC,stated_elsewhere,Electrolyte consisted of 1M LiPF6 in EC:EMC ... + 2 wt% VC
v5-4A/1,v5-4A,1,PAPER 11,10.3390/ma16103613,capacity,,not_reported,no capacity after 200 cycles; only 'capacity retention rate of the SCNCM/(ALP+BA)-1 electrode (83.8%)',single-crystal NCM811 (SCNCM),stated,SCNCM/(ALP+BA)-1,aluminum triphosphate + boric acid coating ((ALP+BA)-1),stated,SCNCM/(ALP+BA)-1,retention only,stated,capacity retention rate ... (83.8%),200,stated,After 200 cycles at 1 C,1C,stated,After 200 cycles at 1 C,2.8–4.6 V,stated_elsewhere,83.8% at ... 4.6 V cut-off voltage ... Three formation cycles were applied between 2.8 and 4.5 and 4.6 V vs. Li/Li+,"half cell, Li foil",stated_elsewhere,lithium foil was used as the counter electrode,25 °C,stated_elsewhere,"0.1 C with the voltage range of (a) 2.8−4.5 V at 25 °C and (c) 2.8−4.6 V at 25 °C, and (e) 2.8−4.5 V at 55 °C, the cycling graph of the SCNCM, SCNCM/(ALP+BA)-1, and SCNCM/(ALP+BA)-2 samples at the current of 1 C in the",1 M LiPF6 in EC/EMC/DMC 1:1:1 (wt),stated_elsewhere,"China, and is prepared by dissolving 1 mol L−1 LiPF6 in a ternary solvent of ethylene carbonate (EC), ethyl methyl carbonate (EMC), and dimethyl carbonate (DMC) at a weight ratio of 1:1:1"
v6-B1-09/1,v6-B1-09,1,PAPER 07,10.1002/advs.76317,temperature,162.6,stated,The specific discharge capacities of NCM811|P15 Z30 PEDF|Li are 162.6 mAh g−1,NCM811,stated,NCM811|P15 Z30 PEDF|Li,,not_reported,"no coating, dopant or other modification is named for this sample",discharge,stated,The specific discharge capacities,,not_reported,rate-capability step (Figure 5b); no cycle index,0.2C,stated,"at 0.2 C, 0.5 C, 1.0 C, 2.0 C, and 5.0 C, respectively",,not_reported,no voltage window anywhere in the paper,Li metal negative electrode (NCM811|P15 Z30 PEDF|Li; the paper calls these full cells),stated,The specific discharge capacities of NCM811|P15 Z30 PEDF|Li are 162.6 mAh g− 1,,not_reported,"30 °C is attached to the Figure 5a cycling test and the 8 µm cells, not to this rate test",composite solid electrolyte P15 Z30 PEDF,stated,The specific discharge capacities of NCM811|P15 Z30 PEDF|Li are 162.6 mAh g− 1
v6-B3-04/1,v6-B3-04,1,PAPER 09,10.3390/ma15062146,capacity_type,104.81,stated,ge Capacity (mAh g−1) rGO (wt%) @0.1C @3C Capacity Fade (%) 0 (control) 202.61 104.81 31 2 193.70 98.00 26 5 216.48 93.20 15 10 153.10 66.55 37 Figure 1 is a comparison of the specific discharge capacity for pristine NMC811 a,NMC811,stated,ge Capacity (mAh g−1) rGO (wt%) @0.1C @3C Capacity Fade (%) 0 (control) 202.61 104.81 31 2 193.70 98.00 26 5 216.48 93.20 15 10 153.10 66.55 37 Figure 1 is a comparison of the specific discharge capacity for pristine NMC811 a,none (0 wt% rGO control),stated,ge Capacity (mAh g−1) rGO (wt%) @0.1C @3C Capacity Fade (%) 0 (control) 202.61 104.81 31 2 193.70 98.00 26 5 216.48 93.20 15 10 153.10 66.55 37 Figure 1 is a comparison of the specific discharge capacity for pristine NMC811 a,discharge,stated,5–4.5 V. The capacity fade was calculated after 100 cycles. Discharge Capacity (mAh g−1) rGO (wt%) @0.1C @3C Capacity Fade (%) 0 (control) 202.61 104.81 31 2 193.70 98.00 26 5 216.48 93.20 15 10 153.10 66.55 37 Figure 1 is a comparison of the speci,,not_reported,table column '@3C'; no cycle index,3C,stated,5–4.5 V. The capacity fade was calculated after 100 cycles. Discharge Capacity (mAh g−1) rGO (wt%) @0.1C @3C Capacity Fade (%) 0 (control) 202.61 104.81 31 2 193.70 98.00 26 5 216.48 93.20 15 10 153.10 66.55 37 Figure 1 is a comparison of the speci,2.5–4.5 V,stated_elsewhere,"A battery test set (BT-2000, Arbin Instruments, College Station, TX, USA) was used to evalu- ate the electrochemical behavior of the assembled batteries in terms of the galvanostatic charge/discharge cycling and cyclic voltammetry (CV) over an operating voltage range of 2.5–4.5 V.","half cell, Li metal",stated_elsewhere,"Pure metallic lithium metal chips (EQ-Lib-LiC60-300, 16 mm diameter and 0.6 mm thickness, 99.9% pure Li, MTI Corp.) were used as the anode for the half-cell batteries",ambient temperature (no number),stated_elsewhere,All measurements were taken at ambient temperature,1 M LiPF6 in EC/EMC 3:7 (v/v),stated_elsewhere,"A microporous separator ﬁlm (Celgard 2400, 25 µm thickness) and 1M LiPF6 in 3:7 ethylene carbonate (EC)/ethyl methyl carbonate (EMC) (3:7 v/v) electrolyte (EQ-LBC3015B-LD, MTI Corp.) were used in the battery assembly"
v6-B1-06/1,v6-B1-06,1,PAPER 28,10.1002/cey2.70076,cell_type,199.0,stated,This cathode delivered discharge capacities of 199.0 mA h g–1 at 0.2 C,NCM811,stated,SPE‐NCM811 cathode,SPE coating,stated,SPE‐NCM811,discharge,stated,delivered discharge capacities of 199.0,,not_reported,rate-test step; no cycle index,0.2C,stated,at 0.2 C,2.18–3.68 V vs In/LiIn (= 2.8–4.3 V vs Li/Li+),stated,"a voltage range of 2.18–3.68 V (vs. In/LiIn, equally 2.8–4.3 V vs. Li+/Li) at 25°C",all-solid-state cell with a Li–In alloy negative electrode,stated_elsewhere,"The electrochemical characterizations were performed on the NCM811/SSE/LiIn ASSLBs, which were fabricated using bare-/- SPE- NCM811 cathodes, LPSCl SE, and LiIn anode (Figure S9).",25 °C,stated,at 25°C,Li6PS5Cl (inorganic sulfide solid electrolyte),stated_elsewhere,"The electrochemical characterizations were performed on the NCM811/SSE/LiIn ASSLBs, which were fabricated using bare-/- SPE- NCM811 cathodes, LPSCl SE, and LiIn anode (Figure S9)."
v6-B2-12/1,v6-B2-12,1,PAPER 20,10.3389/fenrg.2022.973336,capacity,,not_reported,no capacity after 100 cycles; 'just 93.1% capacity retention after 100 cycles' in 1 M LiPF6 EC/EMC,NCM811,stated,Li/NCM811 cells,,not_reported,"no coating, dopant or other modification is named for this sample",retention only,stated,93.1% capacity retention,100,stated,after 100 cycles,0.2C,stated,Li/NCM811 coin-cells assembled with different electrolytes at a cut-off voltage of 2.7–4.5 V and a current density of 0.2 C. Frontiers in Energy Research frontiersin.org 05 Chen et al. 10.3389/fenrg.2022.973336 EMC/FEC electrolyte in the temperature range of ‒40–,2.7–4.5 V,stated,cells cycled between 2.7 and 4.5 V,"half cell, Li metal (Li/NCM811 coin cell)",stated,Li/NCM811 coin-cells,,not_reported,room temperature is given only for the pouch-cell tests; no temperature for the Li/NCM811 coin-cell cycling,1.0 M LiPF6 in EMC:EC 6:1 (v/v),stated_elsewhere,the conventional EC-based electrolyte was composed of 1.0 mol L−1 LiPF6 dissolved in ... EMC and EC in a 6:1 volume ratio
v6-B2-07/1,v6-B2-07,1,PAPER 23,10.1155/er/6664420,voltage_window,227 (approximately),stated,showed enhanced capacities of approximately 227 mA h g−1,NCM811,stated,P0.3-NCM811 cathode material,"PO4(3−) polyanion incorporation, 0.3 mol% (P0.3)",stated,incorporating an optimal amount of PO4 3− polyanions,discharge,stated,initial discharge capacity,1,stated,initial discharge capacity,0.1C (1C = 180 mA/g),stated,initial charge–discharge curves measured at a current density of 0.1 C,3.0–4.5 V,stated_elsewhere,within a potential range of 3.0–4.5 V (vs. Li/Li+),"half cell, Li metal",stated_elsewhere,using Li metal as both the counter and reference electrodes,25 °C,stated_elsewhere,Galvanostatic charge–discharge tests were conducted at 25°C,1.0 M LiPF6 in EC/EMC,stated_elsewhere,The electrolyte consisted of 1.0 M LiPF6 dissolved in a mixed sol- vent of ethylene carbonate (EC) and ethyl methyl carbonate (EMC) in a 3:7 volume ratio
