item_id,case_id,row,field,candidate,gd_value,gd_status,claude_status,claude_quote,claude_reason,claude_agrees,gpt_status,gpt_quote,gpt_reason,gpt_agrees
J1-011,v5-1B,1,capacity,149.04,149.04,STATED,STATED,"""After 150 cycles, the former delivered 149.04 mAh g−1""",Value given; also Table 1 row,yes,STATED,"""After 150 cycles, the former delivered 149.04 mAh g−1""",Paper directly reports 149.04 mAh/g after 150 cycles.,yes
J1-012,v5-1B,1,material,NCM811,NCM811,STATED,STATED,"""Electrochemical data for stability of bare and Al2O3-coated NCM811 over 150 cycles""",Table row is Al2O3-Coated NCM811,yes,INFERRED,"""After 150 cycles, the former delivered 149.04 mAh g−1""",The preceding results identify the compared electrodes as NCM811 samples.,yes
J1-013,v5-1B,1,modification,Al2O3 coating,Al2O3 coating,STATED,STATED,"""the Al2O3-coated sample delivered a discharge capacity of 198.93 mAh g−1 ... the former delivered 149.04 mAh g−1""","""Former"" is the Al2O3-coated sample",yes,INFERRED,"""After 150 cycles, the former delivered 149.04 mAh g−1""",The preceding sentence identifies the former as the Al2O3-coated sample.,yes
J1-014,v5-1B,1,capacity_type,discharge,discharge,STATED,STATED,"""150th Discharge Capacity (mAh g−1)""",Table column header states discharge,yes,INFERRED,"""the Al2O3-coated sample delivered a discharge capacity of 198.93 mAh g−1""",The 149.04 mAh/g value is the coated sample's discharge capacity context.,yes
J1-015,v5-1B,1,cycle,150,150,STATED,STATED,"""After 150 cycles, the former delivered 149.04 mAh g−1""",Cycle 150 stated,yes,STATED,"""After 150 cycles, the former delivered 149.04 mAh g−1""",The cycle count is explicitly 150.,yes
J1-016,v5-1B,1,c_rate,1C,1C,STATED,STATED,"""Electrochemical properties of bare and Al2O3-coated NCM811 over 150 cycles (1 C)""",Figure 3 caption gives 1C,yes,INFERRED,"""Long-term cycling was conducted at 1 C for 150 cycles.""",The 150-cycle measurement belongs to the 1C long-term cycling test.,yes
J1-017,v5-1B,1,voltage_window,2.8–4.5 V,2.8–4.5 V,STATED,STATED,"""over 150 cycles between 2.8 and 4.5 V""",Table 1 caption; row upper cutoff 4.5 V,yes,INFERRED,"""Table 1. Electrochemical data for stability of bare and Al2O3-coated NCM811 over 150 cycles between 2.8 and 4.5 V.""",The table assigns this 150-cycle measurement to 2.8–4.5 V.,yes
J1-018,v5-1B,1,cell_type,"half cell, Li foil","half cell, Li foil",INFERRED,INFERRED,"""The CR2032 coin cells ... Lithium foil served as the anode"" plus ""The half-cells were cycled at 0.1 C for 3 cycles""",Methods fix half cell with Li foil,yes,INFERRED,"""Lithium foil served as the anode""",The NCM811 coin cells use lithium foil as the counter/anode.,yes
J1-019,v5-1B,1,temperature,25 °C,25 °C,INFERRED,STATED,"""cycling at 1 C across the voltage ranges of 2.8–4.3, 4.4, and 4.5 V vs. Li/Li+ at 25 ◦C""",Same passage gives 25 °C,yes,INFERRED,"""cycling ... at 25 ◦C""",The cycling results are explicitly reported at 25 °C.,yes
J1-020,v5-1B,1,electrolyte,1 M LiPF6 in EC:DEC 1:1,1 M LiPF6 in EC:DEC 1:1,INFERRED,INFERRED,"""The electrolyte used was 1 M LiPF6 dissolved in a 1:1 mixture of ethylene carbonate (EC) and diethyl carbonate (DEC)""",Methods electrolyte for all coin cells,yes,INFERRED,"""The electrolyte used was 1 M LiPF6 dissolved in a 1:1 mixture of ethylene carbonate (EC) and diethyl carbonate (DEC).""",The methods specify this electrolyte for the NCM811 cells.,yes
J1-021,v5-1C,1,capacity,218,218,STATED,STATED,"""were 251/216 and 247/218 mAh g−1""",Value given,yes,STATED,"""247/218 mAh g−1""",The reported charge/discharge pair contains 218 mAh/g directly.,yes
J1-022,v5-1C,1,material,single-crystal NCM811 (SCNCM),single-crystal NCM811 (SCNCM),STATED,STATED,"""the ﬁrst charge/discharge speciﬁc capacities of the SCNCM and SCNCM/(ALP+BA)-1 electrodes""",Sample is modified single-crystal NCM811,yes,STATED,"""SCNCM""",The measurement is explicitly for the single-crystal NCM811 sample.,yes
J1-023,v5-1C,1,modification,aluminum triphosphate + boric acid coating ((ALP+BA)-1),aluminum triphosphate + boric acid coating ((ALP+BA)-1),STATED,STATED,"""the ﬁrst charge/discharge speciﬁc capacities of the SCNCM and SCNCM/(ALP+BA)-1 electrodes were 251/216 and 247/218 mAh g−1""",218 belongs to (ALP+BA)-1,yes,STATED,"""SCNCM/(ALP+BA)-1""",The reported 247/218 pair is explicitly assigned to the ALP+BA-1 sample.,yes
J1-024,v5-1C,1,capacity_type,discharge,discharge,STATED,STATED,"""ﬁrst charge/discharge speciﬁc capacities ... 247/218 mAh g−1""",Second number is discharge,yes,STATED,"""first charge/discharge-specific capacities ... 247/218 mAh g−1""",The second value is explicitly the discharge capacity.,yes
J1-025,v5-1C,1,cycle,1,1,STATED,STATED,"""The ﬁrst charge/discharge speciﬁc capacities""",First cycle,yes,STATED,"""The first charge/discharge-specific capacities""",The measurement is explicitly from the first cycle.,yes
J1-026,v5-1C,1,c_rate,0.1C,0.1C,STATED,INFERRED,"""Three formation cycles were applied between 2.8 and 4.5 and 4.6 V vs. Li/Li+ at a 0.1 C rate""",First-cycle profiles are formation cycles at 0.1C,yes,STATED,"""between 2.8 and 4.5 V at 0.1 C and 25 ◦C""",The first-cycle measurement is explicitly at 0.1C.,yes
J1-027,v5-1C,1,voltage_window,2.8–4.6 V,2.8–4.6 V,STATED,INFERRED,"""Three formation cycles were applied between 2.8 and 4.5 and 4.6 V""",Lower cutoff 2.8 V from methods; 4.6 V stated for this test,yes,INFERRED,"""higher operation voltage (4.5 V/4.6 V)""",The 218 mAh/g result is the 4.6 V cycling measurement described by the paper.,yes
J1-028,v5-1C,1,cell_type,"half cell, Li foil","half cell, Li foil",INFERRED,INFERRED,"""tested in CR2032 coin-type cells ... lithium foil was used as the counter electrode""",Methods fix half cell with Li foil,yes,INFERRED,"""lithium foil counter electrode""",The electrochemical cells use lithium foil as counter electrode.,yes
J1-029,v5-1C,1,temperature,25 °C,25 °C,STATED,INFERRED,"""at 25 ◦C (or 55 ◦C)""","55 °C test was 4.5 V only, so 4.6 V test at 25 °C",yes,INFERRED,"""at 0.1 C and 25 ◦C""",The reported first-cycle capacities are measured at 25 °C.,yes
J1-030,v5-1C,1,electrolyte,1 M LiPF6 in EC/EMC/DMC 1:1:1 (wt),1 M LiPF6 in EC/EMC/DMC 1:1:1 (wt),INFERRED,INFERRED,"""dissolving 1 mol L−1 LiPF6 in a ternary solvent of ethylene carbonate (EC), ethyl methyl carbonate (EMC), and dimethyl carbonate (DMC) at a weight ratio of 1:1:1""",Single electrolyte,yes,INFERRED,"""1 M LiPF6 in EC/EMC/DMC 1:1:1 (wt)""",The cell-testing methods specify this electrolyte for these NCM811 cells.,yes
J1-031,v5-2B,1,capacity,210,210,STATED,STATED,"""210 mAh/g of discharge capacity at the end of the formation cycles""",Value given,yes,STATED,"""210 mAh/g of discharge capacity at the end of the formation cycles""",Paper directly reports 210 mAh/g for this discharge measurement.,yes
J1-032,v5-2B,1,material,NMC811,NMC811,STATED,STATED,"""the NMC811/Gr cell presents a total ... charge capacity of 240 mAh/g""",Cell is NMC811/Gr,yes,STATED,"""the NMC811/Gr cell""",The measurement is explicitly from the NMC811/graphite full-cell.,yes
J1-033,v5-2B,1,modification,none (uncoated),none (uncoated),STATED,INFERRED,"""NMC811/Gr coin cells, with and without an NMC electrode coating""",NMC811/Gr is the uncoated cell of the pair,yes,INFERRED,"""The uncoated NMC811 electrode was obtained from Umicore""",The full-cell uses the uncoated NMC811 electrode described in methods.,yes
J1-034,v5-2B,1,capacity_type,discharge,discharge,STATED,STATED,"""210 mAh/g of discharge capacity""",Discharge stated,yes,STATED,"""210 mAh/g of discharge capacity""",The paper explicitly identifies the capacity as discharge.,yes
J1-035,v5-2B,1,cycle,end of formation (index not given),end of formation (index not given),STATED,STATED,"""at the end of the formation cycles""","Position stated, no index",yes,STATED,"""at the end of the formation cycles""",The cycle position is explicitly described as the end of formation.,yes
J1-036,v5-2B,1,c_rate,0.1C,0.1C,INFERRED,INFERRED,"""Formation cycles consisted of 3 cycles of constant current charge of C/10 ... followed by a C/10 discharge""",Formation at C/10 for all cells,yes,INFERRED,"""Formation cycles consisted of 3 cycles of constant current charge of C/10 ... followed by a C/10 discharge""",Formation discharge is performed at 0.1C.,yes
J1-037,v5-2B,1,voltage_window,2.5–4.2 V,2.5–4.2 V,INFERRED,INFERRED,"""Potential windows for cycling were 2.50 V–4.20 V for the full-cells ... employed in the formation cycles and in cycling""",Full-cell window,yes,INFERRED,"""Potential windows for cycling were 2.50 V–4.20 V for the full-cells""",The NMC811/graphite full-cell uses this window.,yes
J1-038,v5-2B,1,cell_type,"full cell, graphite","full cell, graphite",STATED,INFERRED,"""2.50 V–4.20 V for the full-cells""; ""Gr electrode ... composed of 94 wt% Graphite GHDR 15-4""",NMC811/Gr is a graphite full cell,yes,STATED,"""NMC811/Gr cell""",The paper explicitly identifies graphite as the negative electrode.,yes
J1-039,v5-2B,1,temperature,25.2 °C,25.2 °C,INFERRED,INFERRED,"""All the cells were aged in a thermal chamber (Binder, Germany) at 25.2 ◦C ± 0.2 ◦C""",Applies to all cells,yes,INFERRED,"""All the cells were aged in a thermal chamber ... at 25.2 ◦C ± 0.2 ◦C""",This temperature applies to the full-cell aging protocol.,yes
J1-040,v5-2B,1,electrolyte,1 M LiPF6 in EC:EMC (30:70 wt) + 2 wt% VC,1 M LiPF6 in EC:EMC (30:70 wt) + 2 wt% VC,INFERRED,INFERRED,"""Electrolyte consisted of 1M LiPF6 in EC:EMC (30 %:70 % wt:wt) + 2 wt% VC""",Single electrolyte,yes,INFERRED,"""Electrolyte consisted of 1M LiPF6 in EC:EMC (30 %:70 % wt: wt) + 2 wt% VC""",The full-cell methods use this electrolyte formulation.,yes
J1-041,v5-2C,1,capacity,180,180,STATED,STATED,"""After 57 cycles, measured capacities were 149, 166, 180, and 146 mAh/g""",Value given,yes,INFERRED,"""After 57 cycles, measured capacities were 149, 166, 180, and 146 mAh/g""",The ordered third value corresponds to the 3.0–4.3 V C/5 condition.,yes
J1-042,v5-2C,1,material,NMC811,NMC811,STATED,STATED,"""Discharge capacity of NMC811/Li coin cells with control electrolyte""",Figure 2 caption,yes,STATED,"""Li/NMC811 coin cells""",The measurement is explicitly on NMC811 coin cells.,yes
J1-043,v5-2C,1,modification,(any value — say whether the paper establishes one),not_reported,NOT_REPORTED,NOT_REPORTED,,"No coating, dopant or cathode additive stated for these cells",yes,NOT_REPORTED,,"The paper does not establish a coating, dopant, or additive for this baseline NMC811 measurement.",yes
J1-044,v5-2C,1,capacity_type,discharge,discharge,STATED,STATED,"""Discharge capacity of NMC811/Li coin cells with control electrolyte as a function of cycle number""",Figure 2 caption states discharge,yes,STATED,"""discharge capacity of Li/NMC811 coin cells""",The reported values are explicitly discharge capacities.,yes
J1-045,v5-2C,1,cycle,57,57,STATED,STATED,"""After 57 cycles""",Cycle 57 stated,yes,STATED,"""After 57 cycles""",The cycle count is explicitly 57.,yes
J1-046,v5-2C,1,c_rate,C/5 (after 2 cycles at C/20),C/5 (after 2 cycles at C/20),INFERRED,CONTRADICTED,"""tested with a current density of 10 mA/g (∼C/20) for one cycle and 40 mAh/g (∼C/5) at the following cycles""","Paper: C/5 after only ONE C/20 cycle, not two",no,INFERRED,"""40 mAh/g (~C/5) following cycles""",The post-formation cycling uses approximately C/5.,yes
J1-047,v5-2C,1,voltage_window,3.0–4.3 V,3.0–4.3 V,STATED,STATED,"""149, 166, 180, and 146 mAh/g""; ""Cells were tested between 3.0 – 4.1, 4.2, 4.3 or 4.4 V""",Third value corresponds to 3.0–4.3 V,yes,INFERRED,"""3.0–4.3 V""",The ordered series assigns 180 mAh/g to the 4.3 V upper cutoff.,yes
J1-048,v5-2C,1,cell_type,"half cell, Li metal","half cell, Li metal",STATED,STATED,"""Discharge capacity of NMC811/Li coin cells""; ""2325 coin cells with lithium metal as the anode""",Half cell versus Li metal,yes,INFERRED,"""Li/NMC811 coin cells""","The cell configuration is lithium/NMC811, establishing a Li half-cell.",yes
J1-049,v5-2C,1,temperature,30 °C,30 °C,INFERRED,INFERRED,"""Cells were tested between 3.0 – 4.1, 4.2, 4.3 or 4.4 V (vs. Li/Li+) at 30◦C""",Coin-cell methods give 30 °C,yes,INFERRED,"""tested ... at 30 C""",The methods state the electrochemical tests were performed at 30 °C.,yes
J1-050,v5-2C,1,electrolyte,1.0 M LiPF6 in EC:DEC 1:2 (v/v),1.0 M LiPF6 in EC:DEC 1:2 (v/v),INFERRED,INFERRED,"""The electrolyte used was 1.0 M LiPF6 in 1:2 v/v ethylene carbonate:diethyl carbonate (EC:DEC)""",Coin-cell methods,yes,INFERRED,"""1.0 M LiPF6 in EC:DEC 1:2 (v/v)""",The electrolyte is specified for the Li/NMC811 coin cells.,yes
J1-051,v5-2D,1,capacity,178 (approximately),178 (approximately),STATED,STATED,"""the P0.3-NCM811 cathode delivered discharge capacities of approximately 218, 207, 199, 190, and 178 mA h g−1""",Value given,yes,STATED,"""P0.3-NCM811 cathode delivered discharge capacities ... 178 mA h g−1 ... at ... 4.0 C""",The paper directly reports approximately 178 mAh/g.,yes
J1-052,v5-2D,1,material,NCM811,NCM811,STATED,STATED,"""the P0.3-NCM811 cathode delivered discharge capacities""",Sample is P0.3-NCM811,yes,STATED,"""P0.3-NCM811""",The reported 178 mAh/g value is assigned to P0.3-NCM811.,yes
J1-053,v5-2D,1,modification,"PO4(3−) polyanion incorporation, 0.3 mol% (P0.3)","PO4(3−) polyanion incorporation, 0.3 mol% (P0.3)",STATED,INFERRED,"""denoted as Px-NCM811, with x representing the molar percentage of PO4 3−incorporation: 0.0, 0.3, and 0.5 mol%""",Naming convention fixes 0.3 mol% PO4,yes,STATED,"""For P0.3-NCM811 ... 0.3 mol%""",The material is defined by 0.3 mol% PO4³⁻ incorporation.,yes
J1-054,v5-2D,1,capacity_type,discharge,discharge,STATED,STATED,"""delivered discharge capacities of approximately 218, 207, 199, 190, and 178 mA h g−1""",Discharge stated,yes,STATED,"""delivered discharge capacities""",The paper explicitly identifies these capacities as discharge capacities.,yes
J1-055,v5-2D,1,cycle,(any cycle number — say whether the paper gives one),not_reported,NOT_REPORTED,NOT_REPORTED,,Rate-capability test; no cycle index given for these values,yes,NOT_REPORTED,,The rate-capability result does not assign a cycle number to 178 mAh/g.,yes
J1-056,v5-2D,1,c_rate,4.0C,4.0C,STATED,STATED,"""at current rates of 0.2, 0.5, 1.0, 2.0, and 4.0 C, respectively""",178 corresponds to 4.0C,yes,STATED,"""178 mA h g−1 at ... 4.0 C""",The 178 mAh/g value is explicitly at 4.0C.,yes
J1-057,v5-2D,1,voltage_window,3.0–4.5 V,3.0–4.5 V,INFERRED,INFERRED,"""Galvanostatic charge–discharge tests were conducted at 25°C within a potential range of 3.0–4.5 V (vs. Li/Li+)""",Methods window for all tests,yes,INFERRED,"""high cut-off voltage of 4.5V (vs. Li/Li+)""",The cycling/electrochemical tests use the 4.5 V upper cutoff.,yes
J1-058,v5-2D,1,cell_type,"half cell, Li metal","half cell, Li metal",INFERRED,INFERRED,"""using half-cells assembled with Li metal serving as both the counter and reference electrodes""",Methods cell configuration,yes,INFERRED,"""Li/Li+""",The electrochemical measurements are cathode half-cell tests versus lithium.,yes
J1-059,v5-2D,1,temperature,25 °C,25 °C,INFERRED,INFERRED,"""Galvanostatic charge–discharge tests were conducted at 25°C""",All measurements at 25 °C,yes,INFERRED,"""25 ◦C""",The electrochemical tests are reported at 25 °C.,yes
J1-060,v5-2D,1,electrolyte,1.0 M LiPF6 in EC/EMC,1.0 M LiPF6 in EC/EMC,INFERRED,INFERRED,"""The electrolyte consisted of 1.0 M LiPF6 dissolved in a mixed solvent of ethylene carbonate (EC) and ethyl methyl carbonate (EMC) in a 3:7 volume ratio""",Single electrolyte,yes,INFERRED,"""1.0 M LiPF6 in EC/EMC""",The methods specify 1.0 M LiPF6 carbonate electrolyte for the cathode tests.,yes
J1-061,v5-2E,1,capacity,204.6,204.6,STATED,STATED,"""(204.6 mAh g-1 for HR-NCM and 203.7 mAh g-1 for LR-NCM)""",Value given,yes,STATED,"""204.6 mAh g-1 for HR-NCM""",Paper directly reports 204.6 mAh/g for HR-NCM.,yes
J1-062,v5-2E,1,material,NCM811 (HR-NCM),NCM811 (HR-NCM),STATED,INFERRED,"""Li[Ni0.8Co0.1Mn0.1]O2 (NCM811) cathode materials with two distinct primary particle length/width ratios were synthesized""",HR-NCM is one of the two NCM811 samples,yes,STATED,"""204.6 mAh g-1 for HR-NCM""",The sample is explicitly identified as HR-NCM.,yes
J1-063,v5-2E,1,modification,high primary-particle length/width ratio,high primary-particle length/width ratio,STATED,INFERRED,"""the oxide with the higher primary particle length/width ratio (namely, HR-NCM)""",Definition of HR-NCM,yes,STATED,"""a higher primary particle length/width ratio""",HR-NCM is explicitly characterized by the higher length/width ratio.,yes
J1-064,v5-2E,1,capacity_type,discharge,discharge,STATED,STATED,"""both cathodes exhibit a high and similar initial discharge speciﬁc capacity at 0.1 C""",Discharge stated,yes,STATED,"""initial discharge specific capacity at 0.1 C""",The 204.6 mAh/g value is explicitly a discharge capacity.,yes
J1-065,v5-2E,1,cycle,1,1,STATED,STATED,"""initial discharge speciﬁc capacity at 0.1 C""",Initial = first cycle,yes,STATED,"""initial capacity-voltage curves""",The capacity is from the initial cycle.,yes
J1-066,v5-2E,1,c_rate,0.1C,0.1C,STATED,STATED,"""initial discharge speciﬁc capacity at 0.1 C""",0.1C stated,yes,STATED,"""at a rate of 0.1 C""",The paper explicitly states 0.1C.,yes
J1-067,v5-2E,1,voltage_window,2.7–4.3 V,2.7–4.3 V,STATED,STATED,"""the initial capacity-voltage curves ... at a rate of 0.1 C (1 C = 200 mAh g-1) from 2.7 to 4.3 V""",Window given for this measurement,yes,STATED,"""from 2.7 to 4.3 V""",The initial capacity measurement uses 2.7–4.3 V.,yes
J1-068,v5-2E,1,cell_type,"half cell, Li metal","half cell, Li metal",INFERRED,INFERRED,"""evaluated in CR2032-type half cells constructed using lithium metal as the anode""",Cell configuration for these cathodes,yes,INFERRED,"""CR2032-type half cells constructed using lithium metal as the anode""",The cell configuration is explicitly a Li half-cell.,yes
J1-069,v5-2E,1,temperature,25 °C,25 °C,INFERRED,INFERRED,"""tested using battery-test equipment (Neware) between 2.7 and 4.3 V (vs. Li/Li+) at 25 °C""",Methods temperature,yes,INFERRED,"""tested ... at room temperature""",The methods specify room-temperature testing.,yes
J1-070,v5-2E,1,electrolyte,1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC,1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC,INFERRED,INFERRED,"""The electrolyte used was 1 M LiPF6 in EC/DEC/DMC (1:1:1 Vol%) with 5 wt% FEC as an additive""",Single electrolyte,yes,INFERRED,"""1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC""",The electrolyte is specified in the electrochemical methods.,yes
J1-071,v5-2E,2,capacity,203.7,203.7,STATED,STATED,"""203.7 mAh g-1 for LR-NCM""",Value given,yes,STATED,"""203.7 mAh g-1 for LR-NCM""",Paper directly reports 203.7 mAh/g for LR-NCM.,yes
J1-072,v5-2E,2,material,NCM811 (LR-NCM),NCM811 (LR-NCM),STATED,INFERRED,"""Li[Ni0.8Co0.1Mn0.1]O2 (NCM811) cathode materials with two distinct primary particle length/width ratios were synthesized""",LR-NCM is one of the two NCM811 samples,yes,STATED,"""203.7 mAh g-1 for LR-NCM""",The sample is explicitly identified as LR-NCM.,yes
J1-073,v5-2E,2,modification,low primary-particle length/width ratio,low primary-particle length/width ratio,STATED,INFERRED,"""the oxide with the lower length/width ratio (LR-NCM)""",Definition of LR-NCM,yes,STATED,"""LR-NCM""",LR-NCM is explicitly the lower primary-particle length/width-ratio material.,yes
J1-074,v5-2E,2,capacity_type,discharge,discharge,STATED,STATED,"""both cathodes exhibit a high and similar initial discharge speciﬁc capacity at 0.1 C""",Discharge stated,yes,STATED,"""initial discharge specific capacity at 0.1 C""",The 203.7 mAh/g value is explicitly a discharge capacity.,yes
J1-075,v5-2E,2,cycle,1,1,STATED,STATED,"""initial discharge speciﬁc capacity at 0.1 C""",Initial = first cycle,yes,STATED,"""initial capacity-voltage curves""",The capacity is from the initial cycle.,yes
J1-076,v5-2E,2,c_rate,0.1C,0.1C,STATED,STATED,"""initial discharge speciﬁc capacity at 0.1 C""",0.1C stated,yes,STATED,"""at a rate of 0.1 C""",The paper explicitly states 0.1C.,yes
J1-077,v5-2E,2,voltage_window,2.7–4.3 V,2.7–4.3 V,STATED,STATED,"""at a rate of 0.1 C (1 C = 200 mAh g-1) from 2.7 to 4.3 V""",Window given for this measurement,yes,STATED,"""from 2.7 to 4.3 V""",The initial capacity measurement uses 2.7–4.3 V.,yes
J1-078,v5-2E,2,cell_type,"half cell, Li metal","half cell, Li metal",INFERRED,INFERRED,"""evaluated in CR2032-type half cells constructed using lithium metal as the anode""",Cell configuration for these cathodes,yes,INFERRED,"""CR2032-type half cells constructed using lithium metal as the anode""",The cell configuration is explicitly a Li half-cell.,yes
J1-079,v5-2E,2,temperature,25 °C,25 °C,INFERRED,INFERRED,"""between 2.7 and 4.3 V (vs. Li/Li+) at 25 °C""",Methods temperature,yes,INFERRED,"""tested ... at room temperature""",The methods specify room-temperature testing.,yes
J1-080,v5-2E,2,electrolyte,1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC,1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC,INFERRED,INFERRED,"""1 M LiPF6 in EC/DEC/DMC (1:1:1 Vol%) with 5 wt% FEC as an additive""",Single electrolyte,yes,INFERRED,"""1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC""",The electrolyte is specified in the electrochemical methods.,yes
J1-081,v5-2F,1,capacity,130,130,STATED,STATED,"""MW_30m_A 87 203 192 178 165 151 130 91 84 73""","Table 3 row, 5C column",yes,NOT_REPORTED,,"130 mAh/g is the MW_30m_A 5C rate-capability value, not the 300-cycle capacity.",no
J1-082,v5-2F,1,material,NMC811 (MW_30m_A),NMC811 (MW_30m_A),STATED,STATED,"""Discharge capacity and capacity retention for the MW and CP NMC811 samples""",Table 3 caption and row label,yes,STATED,"""MW_30m_A sample""",The cycling result is explicitly assigned to MW_30m_A.,yes
J1-083,v5-2F,1,modification,"microwave-assisted hydrothermal precursor, 30 min","microwave-assisted hydrothermal precursor, 30 min",STATED,INFERRED,"""treated under microwave hydrothermal conditions at 160 ◦C for 15, 30, and 60 min ... labeled as MW_15m, MW_30m, and MW_60m""",Naming fixes 30 min microwave precursor,yes,STATED,"""MW_30m_A""",The sample is produced by the microwave-assisted route; it is not a coating/dopant/additive.,yes
J1-084,v5-2F,1,capacity_type,discharge,discharge,STATED,STATED,"""Discharge Capacity, mAh/g""",Table 3 column header,yes,STATED,"""maximum capacity retention of 73%""",The 300-cycle result is reported as capacity retention.,yes
J1-085,v5-2F,1,cycle,1,not_reported,NOT_REPORTED,NOT_REPORTED,,Rate-capability columns; no cycle index given,yes,CONTRADICTED,"""after 300 charge/discharge cycles at 1C current density""","The relevant cycling measurement is after 300 cycles, not cycle 1.",no
J1-086,v5-2F,1,c_rate,5C,5C,STATED,STATED,"""0.1C 0.2C 0.5C 1C 2C 5C""",130 sits in the 5C column,yes,CONTRADICTED,"""after 300 charge/discharge cycles at 1C current density""","The 300-cycle retention measurement is at 1C, not 5C.",no
J1-087,v5-2F,1,voltage_window,2.7–4.3 V,2.7–4.3 V,INFERRED,INFERRED,"""in the potential range of 2.7–4.3 V at room temperature at different current rates from 0.1C to 5C""",Methods window,yes,INFERRED,"""potential range of 2.7–4.3 V""",The half-cell galvanostatic tests use this potential range.,yes
J1-088,v5-2F,1,cell_type,"half cell, Li foil","half cell, Li foil",INFERRED,INFERRED,"""Coin-type half-cells (2032 R) ... with a lithium foil disc as a counter electrode""",Methods cell configuration,yes,INFERRED,"""Coin-type half-cells (2032 R) ... lithium foil disc as a counter electrode""",The electrochemical setup is a Li half-cell.,yes
J1-089,v5-2F,1,temperature,room temperature (no number),room temperature (no number),INFERRED,INFERRED,"""in the potential range of 2.7–4.3 V at room temperature""","Room temperature, no number",yes,INFERRED,"""at room temperature""",The half-cell galvanostatic tests are explicitly at room temperature.,yes
