case_id,reference_row,paper,doi,field,value,status,quote_or_reason
v5-1B,1,PAPER 12,10.3390/mi15070894,electrolyte,1 M LiPF6 in EC:DEC 1:1,stated_elsewhere,The electrolyte used was 1 M LiPF6 dissolved in a 1:1 mixture of ethylene carbonate (EC) and diethyl carbonate (DEC)
v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,capacity,213,stated,reversible discharge of 1.02 mAh/cm2 (213 mAh/g) during formation cycles
v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,material,NMC811,stated,uncoated NMC811 electrode was obtained from Umicore
v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,modification,none (uncoated),stated,The uncoated NMC811 electrode
v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,capacity_type,discharge (reversible),stated,reversible discharge of 1.02 mAh/cm2 (213 mAh/g)
v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,cycle,not_reported,not_reported,'during formation cycles' of three; which one is not given
v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,c_rate,0.1C,stated_elsewhere,followed by a C/10 discharge
v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,voltage_window,2.5–4.3 V,stated,"during formation cycles (2.5–4.3V, 25.2 °C ± 0.2 °C)"
v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,cell_type,"half cell, Li foil",stated_elsewhere,2.50 V–4.30 V for the positive half-cells
v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,temperature,25.2 °C,stated,"(2.5–4.3V, 25.2 °C ± 0.2 °C)"
v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,electrolyte,1 M LiPF6 in EC:EMC (30:70 wt) + 2 wt% VC,stated_elsewhere,1M LiPF6 in EC:EMC (30 %:70 % wt: wt) + 2 wt% VC
v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,capacity,245,stated,first charge of 1.17 mAh/cm2 (245 mAh/g)
v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,material,NMC811,stated,uncoated NMC811 electrode was obtained from Umicore
v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,modification,none (uncoated),stated,The uncoated NMC811 electrode
v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,capacity_type,charge,stated,first charge of 1.17 mAh/cm2 (245 mAh/g)
v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,cycle,"1 (first charge, formation)",stated,first charge ... during formation cycles
v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,c_rate,0.1C,stated_elsewhere,Formation cycles consisted of 3 cycles of constant current charge of C/10
v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,voltage_window,2.5–4.3 V,stated,"during formation cycles (2.5–4.3V, 25.2 °C ± 0.2 °C)"
v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,cell_type,"half cell, Li foil",stated_elsewhere,2.50 V–4.30 V for the positive half-cells
v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,temperature,25.2 °C,stated,"(2.5–4.3V, 25.2 °C ± 0.2 °C)"
v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,electrolyte,1 M LiPF6 in EC:EMC (30:70 wt) + 2 wt% VC,stated_elsewhere,1M LiPF6 in EC:EMC (30 %:70 % wt: wt) + 2 wt% VC
v5-3E,1,PAPER 07,10.3390/batteries9080423,capacity,141,stated,"for NCM811, were 146 and 141 mAh/g, respectively"
v5-3E,1,PAPER 07,10.3390/batteries9080423,material,NCM811 (regenerated),stated,NCM811
v5-3E,1,PAPER 07,10.3390/batteries9080423,modification,aluminium present (>1%) in the regenerated material; not an intentional modification,stated,"There was also the presence of more than 1% aluminum, which probably got into the precursor during the extraction of the cobalt from the aluminum current collector."
v5-3E,1,PAPER 07,10.3390/batteries9080423,capacity_type,discharge,stated,"the charging and discharging capacities ... for NCM811, were 146 and 141"
v5-3E,1,PAPER 07,10.3390/batteries9080423,cycle,5,stated,At cycle 5
v5-3E,1,PAPER 07,10.3390/batteries9080423,c_rate,0.1C,stated_elsewhere,charge–discharge curves at a current rate of 0.1 C ... at the 1st and 5th cycles
v5-3E,1,PAPER 07,10.3390/batteries9080423,voltage_window,2.8–4.3 V,stated_elsewhere,in a voltage range of 2.8–4.3 V
v5-3E,1,PAPER 07,10.3390/batteries9080423,cell_type,"half cell, Li metal",stated_elsewhere,Lithium metal was used as the anode material
v5-3E,1,PAPER 07,10.3390/batteries9080423,temperature,not_reported,not_reported,no test temperature anywhere in the paper
v5-3E,1,PAPER 07,10.3390/batteries9080423,electrolyte,TC-E918 (LiPF6 in organic carbonates),stated_elsewhere,"TC-E918 (Tinki), which is a solution of LiPF6 in a mixture of organic carbonates"
v5-2C,1,PAPER 02,10.1149/2.1011507jes,capacity,180,stated,"After 57 cycles, measured capacities were 149, 166, 180, and 146 mAh/g"
v5-2C,1,PAPER 02,10.1149/2.1011507jes,material,NMC811,stated,NMC811/Li coin cells
v5-2C,1,PAPER 02,10.1149/2.1011507jes,modification,not_reported,not_reported,"no coating, dopant or other modification is named for this sample"
v5-2C,1,PAPER 02,10.1149/2.1011507jes,capacity_type,discharge,stated,Discharge capacity of NMC811/Li coin cells ... as a function of cycle number
v5-2C,1,PAPER 02,10.1149/2.1011507jes,cycle,57,stated,After 57 cycles
v5-2C,1,PAPER 02,10.1149/2.1011507jes,c_rate,C/5,stated_elsewhere,The cells were tested at C/20 for 2 cycles and then cycled at C/5 at a constant temperature of 30°C. ... All the cells were tested with a current density of 10 mA/g (∼C/20) for one cycle and 40 mAh/g (∼C/5) at the following cycles.
v5-2C,1,PAPER 02,10.1149/2.1011507jes,voltage_window,3.0–4.3 V,stated,"Second discharge capacities of ∼161, 180, 198, and 207 mAh/g at C/20 were measured from 3.0–4.1 V, 4.2 V, 4.3 V and 4.4 V, respectively, whereas the second discharge capacities at C/5 within the same potential ranges were ∼150, 169, 188 and 197 mAh/g respectively. ... After 57 cycles, measured capacities were 149, 166, 180, and 146 mAh/g with corresponding capacity retentions of 99%, 98%, 95% and 74% (comparing to the second discharge at C/5), respectively."
v5-2C,1,PAPER 02,10.1149/2.1011507jes,cell_type,"half cell, Li metal",stated,NMC811/Li coin cells
v5-2C,1,PAPER 02,10.1149/2.1011507jes,temperature,30 °C,stated_elsewhere,cycled at C/5 at a constant temperature of 30°C
v5-2C,1,PAPER 02,10.1149/2.1011507jes,electrolyte,1.0 M LiPF6 in EC:DEC 1:2 (v/v),stated_elsewhere,"For all cells, the electrolyte used was 1.0 M LiPF6 in 1:2 v/v EC:DEC"
v5-4B,1,PAPER 18,10.3390/batteries8070067,capacity,not_reported,not_reported,no capacity after 300 cycles; Table 3 gives retention 78% for CP7_MW3
v5-4B,1,PAPER 18,10.3390/batteries8070067,material,NMC811 (CP7_MW3),stated,"4 145 120 85 74 64 CP_A 78 199 192 178 165 156 131 90 77 69 CP7_MW3 83 202 194 182 165 144 120 93 85 78 NMC811 [20] 82 196 180 162 150 125 100 87 79 - To evaluate the processes taking place during Li (de)intercalation in NMC811, differen- tial"
v5-4B,1,PAPER 18,10.3390/batteries8070067,modification,70:30 mix of CP_A and MW_30m_A,stated,CP7_MW3
v5-4B,1,PAPER 18,10.3390/batteries8070067,capacity_type,retention only,stated,"Capacity Retention, at 1C, % ... after 300 Cycles"
v5-4B,1,PAPER 18,10.3390/batteries8070067,cycle,300,stated,after 300 charge/discharge cycles
v5-4B,1,PAPER 18,10.3390/batteries8070067,c_rate,1C,stated,(current density 1C)
v5-4B,1,PAPER 18,10.3390/batteries8070067,voltage_window,2.7–4.3 V,stated,within the voltage region of 2.7–4.3 V vs. Li/Li+
v5-4B,1,PAPER 18,10.3390/batteries8070067,cell_type,"half cell, Li foil",stated_elsewhere,with a lithium foil disc as a counter electrode
v5-4B,1,PAPER 18,10.3390/batteries8070067,temperature,room temperature (no number),stated_elsewhere,at room temperature
v5-4B,1,PAPER 18,10.3390/batteries8070067,electrolyte,1 M LiPF6 in EC:PC:DMC 1:1:3 (vol),stated_elsewhere,"Coin-type half-cells (2032 R) were assembled in an Ar-ﬁlled glove box using the electrolyte consisting of 1M LiPF6 (Sigma-Aldrich, 99.99%) solution in ethylene carbonate/propylene carbonate/dimethyl carbonate solution (EC:PC:DMC = 1:1:3 vol. ratio)"
v5-2D,1,PAPER 14,10.1155/er/6664420,capacity,178 (approximately),stated,"approximately 218, 207, 199, 190, and 178 mA h g−1"
v5-2D,1,PAPER 14,10.1155/er/6664420,material,NCM811,stated,P0.3-NCM811 cathode
v5-2D,1,PAPER 14,10.1155/er/6664420,modification,"PO4(3−) polyanion incorporation, 0.3 mol% (P0.3)",stated,P0.3-NCM811
v5-2D,1,PAPER 14,10.1155/er/6664420,capacity_type,discharge,stated,delivered discharge capacities of approximately
v5-2D,1,PAPER 14,10.1155/er/6664420,cycle,not_reported,not_reported,rate-capability step; no cycle index given
v5-2D,1,PAPER 14,10.1155/er/6664420,c_rate,4.0C,stated,"at current rates of 0.2, 0.5, 1.0, 2.0, and 4.0 C"
v5-2D,1,PAPER 14,10.1155/er/6664420,voltage_window,3.0–4.5 V,stated_elsewhere,within a potential range of 3.0–4.5 V (vs. Li/Li+)
v5-2D,1,PAPER 14,10.1155/er/6664420,cell_type,"half cell, Li metal",stated_elsewhere,CR2032 coin cells ... using Li metal as both the counter and reference electrodes
v5-2D,1,PAPER 14,10.1155/er/6664420,temperature,25 °C,stated_elsewhere,All electrochemical measurements were performed at 25°C
v5-2D,1,PAPER 14,10.1155/er/6664420,electrolyte,1.0 M LiPF6 in EC/EMC,stated_elsewhere,The electrolyte consisted of 1.0 M LiPF6 dissolved in a mixed sol- vent of ethylene carbonate (EC) and ethyl methyl carbonate (EMC) in a 3:7 volume ratio
v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,capacity,137.1,stated,the full-cell delivered 137.1 mAh g–1 (areal capacity: 2.10 mAh cm–2) after 100 cycles
v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,material,NCM811,stated,pairing the Si/a-Sn/CoSi2/G/C anode with an NCM811 cathode
v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,modification,not_reported,not_reported,"no coating, dopant or other modification is named for this sample"
v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,capacity_type,not_reported,not_reported,the paper says the full cell 'delivered' 137.1 mAh/g with a capacity retention but never says charge or discharge; reading it as discharge is a convention
v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,cycle,100,stated,after 100 cycles
v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,c_rate,1C (1C = 180 mA/g),stated,At 1 C with a cathode loading of 15.3 mg cm–2
v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,voltage_window,2.0–4.3 V,stated_elsewhere,The full-cells were tested ... within a range of 2.0–4.3 V
v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,cell_type,"full cell, Si/a-Sn/CoSi2/G/C anode",stated,the full-cell delivered 137.1
v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,temperature,room temperature (no number),stated_elsewhere,All LIB measurements were taken at room temperature
v5-3B,1,PAPER 01,10.1007/s40820-026-02258-w,electrolyte,not_reported,not_reported,composition given only for LIB half-cell tests (1.3 M LiPF6 in EC/DEC + 10 wt% FEC); the full-cell paragraph names none
v5-1C,1,PAPER 11,10.3390/ma16103613,capacity,218,stated,247/218 mAh g−1
v5-1C,1,PAPER 11,10.3390/ma16103613,material,single-crystal NCM811 (SCNCM),stated,SCNCM/(ALP+BA)-1 electrode
v5-1C,1,PAPER 11,10.3390/ma16103613,modification,aluminum triphosphate + boric acid coating ((ALP+BA)-1),stated,SCNCM/(ALP+BA)-1
v5-1C,1,PAPER 11,10.3390/ma16103613,capacity_type,discharge,stated,first charge/discharge specific capacities ... 247/218
v5-1C,1,PAPER 11,10.3390/ma16103613,cycle,1,stated,The first charge/discharge specific capacities
v5-1C,1,PAPER 11,10.3390/ma16103613,c_rate,0.1C,stated,first charging and discharging curves ... at the current of 0.1 C
v5-1C,1,PAPER 11,10.3390/ma16103613,voltage_window,2.8–4.6 V,stated,(c) 2.8−4.6 V at 25 °C
v5-1C,1,PAPER 11,10.3390/ma16103613,cell_type,"half cell, Li foil",stated_elsewhere,lithium foil was used as the counter electrode
v5-1C,1,PAPER 11,10.3390/ma16103613,temperature,25 °C,stated,(c) 2.8−4.6 V at 25 °C
v5-1C,1,PAPER 11,10.3390/ma16103613,electrolyte,1 M LiPF6 in EC/EMC/DMC 1:1:1 (wt),stated_elsewhere,"China, and is prepared by dissolving 1 mol L−1 LiPF6 in a ternary solvent of ethylene carbonate (EC), ethyl methyl carbonate (EMC), and dimethyl carbonate (DMC) at a weight ratio of 1:1:1"
v5-2E,1,PAPER 16,10.20517/energymater.2023.59,capacity,204.6,stated,(204.6 mAh g-1 for HR-NCM and 203.7 mAh g-1 for LR-NCM)
v5-2E,1,PAPER 16,10.20517/energymater.2023.59,material,NCM811 (HR-NCM),stated,HR-NCM
v5-2E,1,PAPER 16,10.20517/energymater.2023.59,modification,high primary-particle length/width ratio,stated,HR-NCM and LR-NCM cathodes
v5-2E,1,PAPER 16,10.20517/energymater.2023.59,capacity_type,discharge,stated,initial discharge specific capacity at 0.1 C
v5-2E,1,PAPER 16,10.20517/energymater.2023.59,cycle,1,stated,initial discharge specific capacity
v5-2E,1,PAPER 16,10.20517/energymater.2023.59,c_rate,0.1C,stated,at a rate of 0.1 C (1 C = 200 mAh g-1)
v5-2E,1,PAPER 16,10.20517/energymater.2023.59,voltage_window,2.7–4.3 V,stated,from 2.7 to 4.3 V
v5-2E,1,PAPER 16,10.20517/energymater.2023.59,cell_type,"half cell, Li metal",stated_elsewhere,CR2032-type half cells constructed using lithium metal as the anode
v5-2E,1,PAPER 16,10.20517/energymater.2023.59,temperature,25 °C,stated_elsewhere,tested ... between 2.7 and 4.3 V (vs. Li/Li+) at 25 °C
v5-2E,1,PAPER 16,10.20517/energymater.2023.59,electrolyte,1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC,stated_elsewhere,The electrolyte used was 1 M LiPF6 in EC/DEC/DMC (1:1:1 Vol%) with 5 wt% FEC
v5-2E,2,PAPER 16,10.20517/energymater.2023.59,capacity,203.7,stated,203.7 mAh g-1 for LR-NCM
v5-2E,2,PAPER 16,10.20517/energymater.2023.59,material,NCM811 (LR-NCM),stated,LR-NCM
v5-2E,2,PAPER 16,10.20517/energymater.2023.59,modification,low primary-particle length/width ratio,stated,HR-NCM and LR-NCM cathodes
v5-2E,2,PAPER 16,10.20517/energymater.2023.59,capacity_type,discharge,stated,initial discharge specific capacity at 0.1 C
v5-2E,2,PAPER 16,10.20517/energymater.2023.59,cycle,1,stated,initial discharge specific capacity
v5-2E,2,PAPER 16,10.20517/energymater.2023.59,c_rate,0.1C,stated,at a rate of 0.1 C
v5-2E,2,PAPER 16,10.20517/energymater.2023.59,voltage_window,2.7–4.3 V,stated,from 2.7 to 4.3 V
v5-2E,2,PAPER 16,10.20517/energymater.2023.59,cell_type,"half cell, Li metal",stated_elsewhere,CR2032-type half cells constructed using lithium metal as the anode
v5-2E,2,PAPER 16,10.20517/energymater.2023.59,temperature,25 °C,stated_elsewhere,tested ... between 2.7 and 4.3 V (vs. Li/Li+) at 25 °C
v5-2E,2,PAPER 16,10.20517/energymater.2023.59,electrolyte,1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC,stated_elsewhere,The electrolyte used was 1 M LiPF6 in EC/DEC/DMC (1:1:1 Vol%) with 5 wt% FEC
v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,capacity,193,stated,NMC811 shows a capacity value of 193 mAh g−1 at 1/15 C when charged to 4.5 V
v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,material,NMC811,stated,NMC811 shows a capacity value
v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,modification,not_reported,not_reported,none named
v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,capacity_type,not_reported,not_reported,'a capacity value ... when charged to 4.5 V'; never called charge or discharge
v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,cycle,1,stated_elsewhere,(a) First derivative of (b) the EPR signal intensity of NMC811 (broad signal); (c) dQ/dV and (d) the voltage change of the NMC811 cathode during charge (blue) and the discharge (orange) process in LP57 without VC additive at a C rate of 1/15C from 2.7 to 4.5 V during its first cycle.
v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,c_rate,1/15C,stated,at 1/15 C
v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,voltage_window,2.7–4.5 V,stated_elsewhere,(a) First derivative of (b) the EPR signal intensity of NMC811 (broad signal); (c) dQ/dV and (d) the voltage change of the NMC811 cathode during charge (blue) and the discharge (orange) process in LP57 without VC additive at a C rate of 1/15C from 2.7 to 4.5 V during its first cycle.
v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,cell_type,in situ EPR cell with Li metal (half cell),stated_elsewhere,contained both an NMC811 cathode and a Li counter/reference electrode
v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,temperature,room temperature (no number),stated_elsewhere,"This cell includes a metallic Li anode and a free-standing NMC811 film cathode, allowing us to study the redox reactions of metal cations at room temperature under galvanostatic cycling."
v5-3F,1,PAPER 08,10.1021/acs.jpcc.5c00275,electrolyte,"1 M LiPF6 in EC/EMC 3:7 (LP57), no VC",stated,"in 1 M LiPF6 in 3:7 ethylene carbonate/ethyl methyl carbonate (EC/EMC, LP57) without the vinylene carbonate (VC) additive"
v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,capacity,225,stated,lower than the one obtained when it was tested in a coin cell (225 mAh g−1) under the same conditions
v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,material,NMC811,stated,NMC811 shows a capacity value
v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,modification,not_reported,not_reported,none named
v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,capacity_type,not_reported,not_reported,'a capacity value ... when charged to 4.5 V'; never called charge or discharge
v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,cycle,not_reported,not_reported,no cycle given
v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,c_rate,1/15C,stated,at 1/15 C
v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,voltage_window,2.7–4.5 V,stated_elsewhere,This value is lower than the one obtained when it was tested in a coin cell (225 mAh g−1) under the same conditions. ... (a) First derivative of (b) the EPR signal intensity of NMC811 (broad signal); (c) dQ/dV and (d) the voltage change of the NMC811 cathode during charge (blue) and the discharge (orange) process in LP57 without VC additive at a C rate of 1/15C from 2.7 to 4.5 V during its first cycle.
v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,cell_type,coin cell (counter electrode not stated for it),stated_elsewhere,tested in a coin cell (225 mAh g−1) under the same conditions
v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,temperature,room temperature (no number),stated_elsewhere,"This value is lower than the one obtained when it was tested in a coin cell (225 mAh g−1) under the same conditions. ... This cell includes a metallic Li anode and a free-standing NMC811 film cathode, allowing us to study the redox reactions of metal cations at room temperature under galvanostatic cycling."
v5-3F,2,PAPER 08,10.1021/acs.jpcc.5c00275,electrolyte,"1 M LiPF6 in EC/EMC 3:7 (LP57), no VC",stated,"in 1 M LiPF6 in 3:7 ethylene carbonate/ethyl methyl carbonate (EC/EMC, LP57) without the vinylene carbonate (VC) additive"
v5-2B,1,PAPER 15,10.1016/j.jpowsour.2025.237184,capacity,210,stated,210 mAh/g of discharge capacity at the end of the formation cycles
v5-2B,1,PAPER 15,10.1016/j.jpowsour.2025.237184,material,NMC811,stated,the NMC811/Gr cell
v5-2B,1,PAPER 15,10.1016/j.jpowsour.2025.237184,modification,none (uncoated),stated,its coated counterpart in Fig. 1b
v5-2B,1,PAPER 15,10.1016/j.jpowsour.2025.237184,capacity_type,discharge,stated,210 mAh/g of discharge capacity
v5-2B,1,PAPER 15,10.1016/j.jpowsour.2025.237184,cycle,end of formation (index not given),stated,at the end of the formation cycles
v5-2B,1,PAPER 15,10.1016/j.jpowsour.2025.237184,c_rate,0.1C,stated_elsewhere,3 cycles of constant current charge of C/10 ... followed by a C/10 discharge
v5-2B,1,PAPER 15,10.1016/j.jpowsour.2025.237184,voltage_window,2.5–4.2 V,stated_elsewhere,2.50 V–4.20 V for the full-cells ... employed in the formation cycles
v5-2B,1,PAPER 15,10.1016/j.jpowsour.2025.237184,cell_type,"full cell, graphite",stated,the NMC811/Gr cell
v5-2B,1,PAPER 15,10.1016/j.jpowsour.2025.237184,temperature,25.2 °C,stated_elsewhere,All the cells were aged in a thermal chamber ... at 25.2 °C ± 0.2 °C
